Timestamp,Easy to scan key details,No distracting content,Easy to read headlines and paragraphs,Relevant and engaging content,Clear and distinct CTA buttons,Optimized page loading time,Information can be found easily,Clear and organized navigation structure,Clear and descriptive navigation labels,Determines the current location on website,Clear and engaging design,"Consistency in color schemes, typography and images",High-quality visual elements,Effective use of white spaces and layouts,,,,,
5/22/2023 10:17:10,7,8,9,10,7,4,9,7,9,6,7,9,7,9,,,Home page,Navigation,Design
5/22/2023 10:20:14,5,8,7,10,8,3,5,9,8,9,6,8,7,8,,,7.416666667,7.375,7.8
5/22/2023 12:26:40,7,8,9,5,3,5,7,5,4,5,4,6,8,7,,,,,
5/22/2023 12:28:32,4,5,5,7,9,3,3,8,7,8,8,7,6,5,,,,,
5/22/2023 12:32:22,9,8,9,6,9,8,9,7,8,7,9,8,8,4,,,,,
5/22/2023 12:50:34,9,9,6,10,5,1,9,6,2,1,10,10,8,2,,,,,
5/22/2023 12:52:10,10,9,9,10,10,7,10,10,9,10,9,8,10,10,,,,,
5/22/2023 12:55:49,8,7,8,6,8,8,8,8,9,9,10,8,6,9,,,,,
5/22/2023 14:13:20,10,8,9,10,9,3,10,9,8,9,8,8,7,10,,,,,
5/22/2023 14:13:42,9,9,10,8,10,5,8,4,8,8,9,9,10,10,,,,,